Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TMA Slide 1 | 012 | Segment 1	0	0.224623965517626	0	0.0439193571818987	0	0.0921326404025048	0.127365187109067	0	0.136974099512966	0.0364594446946372	0	0.144640825225358	0.0649633071164776	0.00602233993280987	0.000685187559641271	0.160806398381723	0	0.00340480062516893	0.107445099393469	0	0.00155262993749594	0.0289885947607333	0	0.785469720990588	0.707335345297459	1.17998387735158
TMA Slide 1 | 012 | Segment 2	0	0.337681531748902	0.00588641024449583	0.114894028726781	0.0239130767953067	0	0.136100303456803	0	0.0619405038259412	0.0318739819383058	0	0.173352214714451	0.0772102081726465	0	0	0.186263034116031	0.00228399280108994	0.00783676614079764	0.078661610138142	0.0302973873773887	0.00476948337739583	0.0255518375914756	0	0.785601043933594	0.702624239071755	1.29851637116596
TMA Slide 1 | 013 | Segment 1	0	0.314886595339489	0	0.0485588954537404	0	0.137718736080788	0.117389565029837	0	0.182446152399063	0	0	0.105540037202434	0.0362581976608796	0	0.0170112665832657	0.158489667044266	0.0107023982885163	0	0.0573085772603108	0.0104798346814847	0	0	0	0.780623694850303	0.697859587163978	1.19678992302407
TMA Slide 1 | 013 | Segment 2	0	0.511288138608488	0.00335212194663437	0.216780722157451	0.100575516533025	0.124633215823858	0.101607239437073	0	0.150237963010721	0	0	0.230582455752528	0.043115077266963	0	0	0.237571819887862	0.00548423744853867	0.00392495363432235	0.0665647450159179	0	0	0.0120719641380604	0	0.739541552886182	0.713409505071242	1.80779017066144
TMA Slide 1 | 014 | Segment 1	0	0.358386610122533	0.00256330052492537	0.0805816214364833	0.0307665401480801	0.025091379260986	0.10556988481174	0	0.120519834242674	0.0170987653361738	0	0.135643563277137	0.0276345663894596	0.0115421817210725	0	0.166771188035827	0.00347565664669458	0.0172460747194759	0.0227676303879469	0.0178043831731681	0.0105427159091568	0.0225783205396018	0	0.7338997520175	0.725989121389519	1.17658421668314
TMA Slide 1 | 014 | Segment 2	0	0.359233532909647	0.128079394372005	0.15468710839096	0	0.0343549336981862	0.130488074893972	0	0.137675070935727	0.018931281129113	0	0.0870661240816697	0.00877159688743397	0	0.0043626986513989	0.267285871686152	0	0.00798192466936583	0.185107029515755	0	0.016600564527777	0.0375330453706585	0	0.639954664024722	0.79511545452227	1.57815825171982
TMA Slide 1 | 015 | Segment 1	0	0.25419920344723	0.0226119378037207	0.0731747253585961	0.0480273573810221	0.0146769761522269	0.141171227338595	0.00189296224409879	0.040983674636226	0.0500371676308866	0	0.14735009646856	0.0732142082841129	0.0693444201775834	0.00868956974317126	0.101144905297194	0.00630465651016691	0	0.12684705703557	0	0	0.00312087161623153	0	0.741228663558184	0.738077654844835	1.18279101712519
TMA Slide 1 | 015 | Segment 2	0	0.361503149761207	0.0283384132538465	0.12415956452472	0	0.178826877539425	0.145517809896484	0	0.121323717004113	0	0	0.131208216310964	0.121142662854166	0	0	0.182563144103534	0.0038527826001041	0.0228978731894463	0.138026823593677	0	0.0096575175457275	0	0	0.660122981036035	0.783237802934868	1.56901855217741
TMA Slide 1 | 016 | Segment 1	0	0.294836374935425	0.00644592646948772	0.0804059645368532	0.00190793071662651	0	0.154598473640548	0	0.130962097467488	0.0512767280879936	0	0.146677080349218	0.0233185257793089	0.0282510621932348	0	0.170147528106101	0	0.0224524422481496	0.0908356946796974	0.00183944362878272	0.0128960015698843	0.045577539655489	0	0.832281083999455	0.676838065277345	1.26242881406429
TMA Slide 1 | 016 | Segment 2	0	0.484052799269011	0	0.12004658430975	0	0.0340527513744948	0.173213436672159	0	0.182656335391742	0.0304678250002738	0	0.0740497213710546	0.0472395247644735	0.0400073558265196	0.0104296181921202	0.161222132167372	0.0181952471106777	0	0.111733773360055	0	0	0.0192457089082684	0	0.657199717887069	0.777918643288964	1.50661281371797
